campaignDisplayName,campaignDescription,campaignID,campaignStartDate,campaignEndDate,duration,daysLeft,campaignType,campaignStatus,userEmail,resourceID,resourceName,resourceType,assignmentType,entitlementBundleName,entitlementValueName,decision,decidedDate,reviewerType,reviewerGroupName,reviewerEmail,remediationStatus,currentReviewerLevel,level1ReviewerEmail,level1ReviewerDecision,level2ReviewerEmail,level2ReviewerDecision
PCI Resource Review - 3,,QDcrr1eoqXKXmhnj,02/17/2024 3:29 pm,02/28/2024 3:33 pm,11,-574.851551,RESOURCE,DRAFT,jordan.johnson610@mailinator.com,Z5BDsyqHBL3TLboP1KbV,Finance360,Application,GROUP,,,APPROVED,02/19/2024 8:21 pm,USER,,jordan.johnson@mailinator.com,SUCCESS,,jordan.johnson@testmail.com,REVOKED,jordan.johnson@example.com,APPROVED
SOX Resource Review - 422,,r6YICtu8zF9OHzlw,02/13/2025 9:10 am,03/12/2025 9:38 am,27,-197.098484,RESOURCE,DRAFT,jordan.johnson563@example.com,5BRh8LojIIf94ChZESFq,HRPro,Server,GROUP,,,UNREVIEWED,,GROUP,AccessReviewers,,SUCCESS,1,jordan.johnson@mailinator.com,REVOKED,,
SOX Resource Review - 744,,K9EjHvIHCtlRJoWc,01/04/2025 5:49 pm,02/02/2025 6:47 pm,29,-234.716701,RESOURCE,COMPLETED,kiran.martinez812@mailinator.com,8EcFK12BGCSzOjD8uQO0,HRPro,API,USER,Default Bundle,,UNREVIEWED,,GROUP,SecurityOps,,FAILED,1,,,,
Customer Portal Access - 101,Customer Portal Access audit.,RgksbudwApzQlkLx,01/10/2024 2:47 am,02/01/2024 3:45 am,22,-602.343669,RESOURCE,CANCELLED,jordan.smith473@mailinator.com,ppaX3QjBvKNAp0mxDoJJ,Finance360,Application,USER,,,REVOKED,01/29/2024 12:11 am,GROUP,SecurityOps,,FAILED,1,,,,
PCI Resource Review - 622,PCI Resource Review audit.,nlpUVQigMcWcwi4u,10/07/2024 11:04 am,10/19/2024 11:16 am,12,-341.030081,RESOURCE,ACTIVE,sai.johnson544@mailinator.com,4ZpZDYUvh7i71S87XwXa,My Super Secure App,Server,USER,,,REVOKED,10/12/2024 2:03 am,USER,,sai.johnson@example.com,FAILED,,sai.johnson@mailinator.com,REVOKED,,
PCI Resource Review - 664,,Z4szi6sEg3iCPU6z,08/29/2023 1:01 am,09/18/2023 1:42 am,20,-738.428565,RESOURCE,DRAFT,kiran.garcia418@testmail.com,cwB61gQH8wylh0CPNLbW,Data Lake Portal,Database,GROUP,,ROLE_USER,UNREVIEWED,,GROUP,AccessReviewers,,SUCCESS,,,,,
SOX Resource Review - 880,SOX Resource Review audit.,9HXg1iwWKaqhAhdB,07/16/2024 9:47 am,08/08/2024 10:24 am,23,-413.066343,RESOURCE,DRAFT,kiran.garcia227@mailinator.com,cW1GC7dDyQE4efLerNHu,Finance360,Server,USER,,ROLE_USER,REVOKED,08/01/2024 4:58 am,GROUP,ComplianceTeam,,SUCCESS,,kiran.garcia@testmail.com,REVOKED,,
Quarterly Access Review - 321,,Pxj5eZffTYIKIuhv,10/19/2024 12:13 am,11/18/2024 12:16 am,30,-311.488391,RESOURCE,IN_PROGRESS,sai.johnson361@example.com,JnOng0wVJY08YMNb5Zql,Finance360,API,USER,,ROLE_USER,REVOKED,11/07/2024 11:10 am,GROUP,AccessReviewers,,FAILED,2,,,sai.johnson@mailinator.com,APPROVED
Customer Portal Access - 430,,jtu6K2jUdfBALznF,06/20/2024 4:58 am,07/10/2024 5:05 am,20,-442.287778,RESOURCE,IN_PROGRESS,neha.martinez608@testmail.com,Gtn9dm6VVrhEAiHoIPvy,My Super Secure App,Server,GROUP,,,APPROVED,07/04/2024 4:22 am,USER,,neha.martinez@mailinator.com,SUCCESS,2,,,neha.martinez@testmail.com,APPROVED
SOX Resource Review - 176,SOX Resource Review audit.,MZ5f0pKGytvukFhF,06/26/2024 5:39 pm,07/14/2024 6:25 pm,18,-437.732477,RESOURCE,ACTIVE,jordan.patel150@testmail.com,mLVOkVEUVB5INM1MjeBs,Finance360,Application,USER,,,APPROVED,06/27/2024 3:33 pm,GROUP,ComplianceTeam,,SUCCESS,,,,,
Quarterly Access Review - 630,,xJ7Tc4JlLF7BYZ8f,09/26/2023 1:27 am,10/04/2023 1:42 am,8,-722.428646,RESOURCE,COMPLETED,kiran.garcia536@mailinator.com,jxrzuLWOefQrSO42uKiv,HRPro,Database,GROUP,,,APPROVED,09/27/2023 2:41 pm,GROUP,SecurityOps,,FAILED,1,kiran.garcia@example.com,REVOKED,kiran.garcia@example.com,REVOKED
Customer Portal Access - 197,,ie0gVZ2cuVixkZVY,09/15/2023 3:44 am,10/15/2023 4:12 am,30,-711.324421,RESOURCE,DRAFT,kiran.johnson693@mailinator.com,oBrUBHtYDZw69CrxG7YX,Data Lake Portal,API,GROUP,,ROLE_USER,REVOKED,09/20/2023 3:16 am,GROUP,ComplianceTeam,,PENDING,,kiran.johnson@mailinator.com,APPROVED,,
Quarterly Access Review - 970,Quarterly Access Review audit.,Y25zyxxfntgSujc4,01/03/2025 10:23 pm,02/01/2025 11:16 pm,29,-235.530012,RESOURCE,ACTIVE,neha.brown460@mailinator.com,aepZITGgrscAXCg4KbFp,Data Lake Portal,API,USER,,,REVOKED,01/24/2025 3:43 am,GROUP,SecurityOps,,FAILED,,neha.brown@testmail.com,APPROVED,,
Quarterly Access Review - 400,Quarterly Access Review audit.,cxxUweoOgKUivuNZ,12/22/2024 6:23 pm,01/20/2025 6:53 pm,29,-247.712627,RESOURCE,ACTIVE,jordan.patel734@testmail.com,cmX2ttyYDcOr1cOqXByB,HRPro,API,GROUP,,,REVOKED,01/04/2025 5:08 pm,GROUP,SecurityOps,,SUCCESS,,jordan.patel@example.com,REVOKED,jordan.patel@example.com,REVOKED
SOX Resource Review - 314,,SkBBT4MANXdPzFUj,02/18/2023 9:00 am,03/01/2023 9:54 am,11,-939.087234,RESOURCE,CANCELLED,neha.brown36@example.com,eWwxJLQ6xVJGyOphTExI,Finance360,API,USER,,,REVOKED,02/24/2023 8:04 am,GROUP,AccessReviewers,,PENDING,,neha.brown@mailinator.com,REVOKED,,
SOX Resource Review - 684,,eH30S5NXFhmiXbIw,05/06/2025 10:53 pm,05/17/2025 11:32 pm,11,-130.519236,RESOURCE,DRAFT,alex.johnson408@mailinator.com,SGVZe8NBQv2WNl7A4dhj,Data Lake Portal,Database,USER,Default Bundle,,REVOKED,05/17/2025 7:33 pm,USER,,alex.johnson@example.com,SUCCESS,,,,,
PCI Resource Review - 641,,HFk6jOSL0IZbcNJO,06/07/2025 6:49 pm,06/27/2025 7:28 pm,20,-89.688715,RESOURCE,DRAFT,kiran.martinez559@testmail.com,NspYzCQjzCvi1t9vyVFg,Data Lake Portal,Server,GROUP,,,UNREVIEWED,,GROUP,ComplianceTeam,,SUCCESS,2,kiran.martinez@example.com,REVOKED,,
SOX Resource Review - 195,SOX Resource Review audit.,EFEtb6F7nvdE2ODH,06/16/2023 11:46 pm,07/06/2023 11:54 pm,20,-811.503542,RESOURCE,IN_PROGRESS,neha.johnson783@testmail.com,wyJmIeFVr9Qh8yXv6UmF,My Super Secure App,Application,GROUP,,,APPROVED,06/29/2023 2:18 pm,USER,,neha.johnson@example.com,FAILED,2,neha.johnson@mailinator.com,REVOKED,neha.johnson@mailinator.com,REVOKED
SOX Resource Review - 520,SOX Resource Review audit.,HRsYwP8KXSQbD7WW,06/16/2025 7:46 am,06/30/2025 8:32 am,14,-87.144259,RESOURCE,DRAFT,sai.brown175@mailinator.com,MM0jQb6gbtjQzW52Tdim,Finance360,Server,USER,,,REVOKED,06/24/2025 3:11 pm,USER,,sai.brown@mailinator.com,FAILED,2,,,,
Customer Portal Access - 197,Customer Portal Access audit.,rs68VRQEDI5SrJH3,09/04/2024 9:14 pm,09/22/2024 10:03 pm,18,-367.581146,RESOURCE,ACTIVE,taylor.patel295@mailinator.com,e5OUnZqIqgTod4noguDQ,Data Lake Portal,Application,GROUP,,ROLE_USER,APPROVED,09/16/2024 11:22 am,GROUP,ComplianceTeam,,SUCCESS,1,,,,
Quarterly Access Review - 668,,HS64k2k59yE6752a,06/01/2025 7:09 am,06/27/2025 7:15 am,26,-90.197789,RESOURCE,IN_PROGRESS,taylor.brown657@mailinator.com,G3iFqYuTOSausPlLNzAu,HRPro,Application,GROUP,Default Bundle,,UNREVIEWED,,GROUP,ComplianceTeam,,SUCCESS,,taylor.brown@testmail.com,REVOKED,taylor.brown@mailinator.com,APPROVED
SOX Resource Review - 670,,oPCjQ53VQN6wn7DC,07/29/2025 11:35 pm,08/17/2025 12:01 am,18,-39.499248,RESOURCE,CANCELLED,kiran.garcia822@mailinator.com,ZVQKWGGw4gZ3mHk0BQSE,HRPro,Application,USER,,,REVOKED,07/31/2025 9:13 am,USER,,kiran.garcia@mailinator.com,SUCCESS,2,kiran.garcia@testmail.com,APPROVED,,
Quarterly Access Review - 47,,RHd39DrliNT7x3B4,08/09/2024 10:05 am,08/28/2024 10:10 am,19,-393.076366,RESOURCE,CANCELLED,jordan.martinez881@testmail.com,h9yh8ZU8CSAxoCjl2VbO,My Super Secure App,Database,GROUP,,,APPROVED,08/23/2024 10:19 pm,GROUP,AccessReviewers,,FAILED,,jordan.martinez@example.com,APPROVED,,
Quarterly Access Review - 144,,rYTtLPtsiOnsd624,10/25/2024 3:11 pm,11/18/2024 3:42 pm,24,-310.845475,RESOURCE,DRAFT,taylor.martinez688@testmail.com,WtzjxUD0sRX4I8IipmO5,Finance360,Application,GROUP,,,REVOKED,11/09/2024 6:25 am,GROUP,AccessReviewers,,PENDING,2,,,,
Customer Portal Access - 214,Customer Portal Access audit.,u7a67h9DpLm4IWxH,07/12/2024 2:10 am,07/28/2024 2:26 am,16,-424.398600,RESOURCE,IN_PROGRESS,sai.brown478@example.com,XSVtmtc1TbIKSsmoJpI6,Finance360,API,USER,Default Bundle,,APPROVED,07/23/2024 6:37 am,GROUP,SecurityOps,,SUCCESS,,sai.brown@mailinator.com,REVOKED,sai.brown@mailinator.com,APPROVED
Quarterly Access Review - 860,Quarterly Access Review audit.,6PVz0oRaFxMPMDEa,05/06/2025 10:45 pm,05/26/2025 10:45 pm,20,-121.551563,RESOURCE,DRAFT,sai.martinez282@mailinator.com,8bYPX4gfjlGYqyxzJ9oQ,My Super Secure App,Application,GROUP,,,APPROVED,05/08/2025 7:27 am,GROUP,SecurityOps,,PENDING,,sai.martinez@testmail.com,REVOKED,,
Quarterly Access Review - 917,,cn13Dce53Ic5t7KU,09/10/2024 5:33 pm,09/19/2024 5:52 pm,9,-370.755486,RESOURCE,ACTIVE,sai.smith581@testmail.com,PHxTXQeUvgoeLMK8uNWB,Data Lake Portal,API,USER,,,REVOKED,09/15/2024 8:15 am,GROUP,SecurityOps,,SUCCESS,,,,sai.smith@example.com,REVOKED
PCI Resource Review - 758,,wf6BVgfAIFgfILW1,01/20/2023 4:05 am,02/05/2023 4:31 am,16,-963.311470,RESOURCE,COMPLETED,alex.martinez923@mailinator.com,48JkxisEdAAEeppMKmgs,HRPro,API,USER,Default Bundle,,APPROVED,01/30/2023 2:56 pm,GROUP,ComplianceTeam,,SUCCESS,2,,,alex.martinez@testmail.com,APPROVED
Customer Portal Access - 992,,TN8WurWw5m9lVbT6,11/22/2023 4:15 pm,12/13/2023 5:06 pm,21,-651.787141,RESOURCE,IN_PROGRESS,neha.patel839@testmail.com,PispjAxBLKH51zc8RYK4,My Super Secure App,Database,USER,,,REVOKED,12/08/2023 8:00 am,USER,,neha.patel@testmail.com,SUCCESS,,neha.patel@testmail.com,APPROVED,,
PCI Resource Review - 457,,CQQj9Ds5fZTvvWGv,06/01/2023 3:39 pm,06/22/2023 4:25 pm,21,-825.815961,RESOURCE,COMPLETED,taylor.patel308@example.com,Yh0OPk9pkjI7ozlNAbMm,HRPro,Server,GROUP,,,REVOKED,06/21/2023 6:46 am,GROUP,SecurityOps,,PENDING,2,taylor.patel@testmail.com,APPROVED,,
SOX Resource Review - 687,SOX Resource Review audit.,GNLLKv0MYRsMfihs,10/12/2023 8:23 am,10/30/2023 9:07 am,18,-696.119688,RESOURCE,ACTIVE,sai.brown429@mailinator.com,ixlNQO9IEitBdwaiY7FE,HRPro,Server,USER,,,UNREVIEWED,,GROUP,ComplianceTeam,,PENDING,1,sai.brown@testmail.com,APPROVED,,
Customer Portal Access - 563,,JqH9HUVBnATOp2bq,05/16/2023 2:57 am,06/06/2023 3:52 am,21,-842.338414,RESOURCE,DRAFT,jordan.smith831@mailinator.com,KvSNkimmdvrHuRrq19Qf,HRPro,Application,USER,Default Bundle,,UNREVIEWED,,GROUP,AccessReviewers,,FAILED,1,,,,
Customer Portal Access - 502,,NMxeXVyUR2CEK10f,12/13/2024 4:13 am,01/09/2025 4:55 am,27,-259.294711,RESOURCE,IN_PROGRESS,alex.garcia408@example.com,8ZEurHi0W3VcMZb5jC9A,Data Lake Portal,API,GROUP,Default Bundle,ROLE_USER,UNREVIEWED,,USER,,alex.garcia@testmail.com,PENDING,1,,,,
Quarterly Access Review - 406,,TUAffneKGBavh1RD,12/22/2023 3:45 pm,01/10/2024 3:50 pm,19,-623.839954,RESOURCE,DRAFT,alex.johnson377@testmail.com,iVUi9iGaOBSMjzQ1fgUK,HRPro,API,USER,,,APPROVED,01/07/2024 7:16 am,GROUP,AccessReviewers,,FAILED,2,,,,
Quarterly Access Review - 869,Quarterly Access Review audit.,2mLlyOWXoxoNe3aw,05/06/2024 2:57 pm,05/17/2024 3:21 pm,11,-495.860185,RESOURCE,CANCELLED,kiran.johnson560@mailinator.com,kD9eKan56yrSVAyNHjfe,Data Lake Portal,Database,USER,,,REVOKED,05/14/2024 9:19 pm,GROUP,ComplianceTeam,,FAILED,1,,,,
Quarterly Access Review - 251,,ACLtTThRRk7GWSkh,02/22/2024 12:15 pm,03/23/2024 1:11 pm,30,-550.950023,RESOURCE,DRAFT,alex.johnson827@testmail.com,qdSJeCwEJwpgJSoFc1pD,HRPro,Database,GROUP,Default Bundle,ROLE_USER,REVOKED,03/13/2024 8:52 pm,GROUP,ComplianceTeam,,PENDING,1,,,alex.johnson@example.com,REVOKED
Quarterly Access Review - 515,,dnFcy21VtfCwsWTp,07/26/2024 2:14 am,08/20/2024 2:45 am,25,-401.385312,RESOURCE,ACTIVE,neha.garcia779@example.com,j5bHNQauVxTtm8A78irc,Data Lake Portal,Server,USER,,ROLE_USER,REVOKED,07/30/2024 5:35 pm,GROUP,SecurityOps,,SUCCESS,,neha.garcia@example.com,REVOKED,,
PCI Resource Review - 243,,05yZuCo6iVggBthw,11/19/2023 1:14 pm,12/10/2023 1:33 pm,21,-654.935162,RESOURCE,COMPLETED,taylor.patel93@example.com,YsRLn1jS8ydsYk70IIfg,Data Lake Portal,Application,GROUP,,ROLE_USER,UNREVIEWED,,GROUP,AccessReviewers,,SUCCESS,1,,,,
Quarterly Access Review - 597,,4e9mOYf0Yh6d5ASE,08/17/2024 1:11 pm,09/14/2024 1:38 pm,28,-375.931771,RESOURCE,ACTIVE,taylor.smith931@example.com,rBjMMOE2DfxzNXp9HbxS,HRPro,Server,USER,Default Bundle,,APPROVED,08/30/2024 4:16 pm,GROUP,AccessReviewers,,SUCCESS,2,taylor.smith@testmail.com,APPROVED,,
Customer Portal Access - 543,,KojpoHXTV6J8y59k,01/03/2024 11:15 am,01/28/2024 11:35 am,25,-606.016725,RESOURCE,IN_PROGRESS,sai.patel721@mailinator.com,vJi6ZY8HkcdLbDuMXvlX,Finance360,Application,GROUP,,ROLE_USER,UNREVIEWED,,GROUP,SecurityOps,,SUCCESS,,sai.patel@mailinator.com,REVOKED,,
SOX Resource Review - 310,,8TBNEtRI3MwPYxTs,10/04/2023 1:26 am,11/03/2023 1:26 am,30,-692.439792,RESOURCE,CANCELLED,kiran.garcia34@example.com,L57nJ6iUo8k2fRN2Bqpe,Finance360,Application,GROUP,,,APPROVED,10/12/2023 3:14 am,USER,,kiran.garcia@testmail.com,SUCCESS,1,kiran.garcia@example.com,REVOKED,,
PCI Resource Review - 167,,Xcbqgv3je68u93RA,09/14/2023 7:32 am,10/10/2023 8:28 am,26,-716.146898,RESOURCE,COMPLETED,jordan.patel104@testmail.com,mlRSTqrodJ0jwAsPLmbk,Finance360,Application,USER,Default Bundle,,APPROVED,10/07/2023 4:13 am,USER,,jordan.patel@mailinator.com,SUCCESS,,,,,
SOX Resource Review - 907,,lcBqZIjRfPYzUody,03/22/2025 7:16 pm,04/11/2025 7:50 pm,20,-166.673090,RESOURCE,COMPLETED,sai.smith488@testmail.com,e3SF3XQMhUk98YhA9A9M,Finance360,API,GROUP,,,REVOKED,03/30/2025 5:15 pm,USER,,sai.smith@mailinator.com,SUCCESS,,,,,
Customer Portal Access - 116,,jKV65IgrHvzxELcr,08/12/2023 11:12 am,09/07/2023 11:50 am,26,-749.006273,RESOURCE,COMPLETED,alex.brown911@testmail.com,QdDqxuXt01Q8osUVtTLf,HRPro,Database,USER,,ROLE_USER,APPROVED,08/15/2023 4:42 am,GROUP,AccessReviewers,,SUCCESS,2,alex.brown@example.com,APPROVED,alex.brown@example.com,APPROVED
PCI Resource Review - 34,,4RqZFNhbxKl1Kvk3,05/21/2023 10:03 am,06/06/2023 10:04 am,16,-842.080347,RESOURCE,COMPLETED,alex.smith875@mailinator.com,WnnnmOF17QDikXnL6SRr,HRPro,API,USER,,,REVOKED,06/03/2023 1:20 am,USER,,alex.smith@mailinator.com,PENDING,,alex.smith@mailinator.com,REVOKED,,
SOX Resource Review - 306,,DururO7OlGod1Yzt,08/06/2023 8:57 am,09/05/2023 8:58 am,30,-751.126389,RESOURCE,COMPLETED,taylor.johnson929@testmail.com,zTK9YvSQND6wskOIsDTS,Data Lake Portal,API,GROUP,,,APPROVED,08/26/2023 6:50 pm,USER,,taylor.johnson@testmail.com,SUCCESS,2,taylor.johnson@example.com,REVOKED,taylor.johnson@mailinator.com,APPROVED
Customer Portal Access - 911,,hQGz1j9v939i1lfu,10/02/2023 4:29 pm,10/19/2023 5:09 pm,17,-706.785289,RESOURCE,DRAFT,alex.brown281@example.com,VkVEVfMNz7xcmxatZlPM,Data Lake Portal,Database,USER,,,REVOKED,10/16/2023 11:24 pm,USER,,alex.brown@example.com,PENDING,,alex.brown@testmail.com,REVOKED,,
SOX Resource Review - 445,SOX Resource Review audit.,9v3wl64zoTiTKkwO,02/28/2023 1:00 am,03/19/2023 1:56 am,19,-921.419051,RESOURCE,IN_PROGRESS,sai.garcia50@mailinator.com,9PObQzxHDjRNsPPqLiZg,My Super Secure App,API,GROUP,Default Bundle,,REVOKED,03/04/2023 9:22 pm,USER,,sai.garcia@mailinator.com,PENDING,1,,,sai.garcia@example.com,REVOKED
PCI Resource Review - 705,PCI Resource Review audit.,uaP4ZPjfFSgpo9sC,06/05/2023 1:08 am,06/17/2023 2:03 am,12,-831.414062,RESOURCE,DRAFT,taylor.johnson821@mailinator.com,tTfVc0PkwBM2fYly7qx0,HRPro,Database,GROUP,,ROLE_USER,UNREVIEWED,,GROUP,ComplianceTeam,,FAILED,1,,,,
PCI Resource Review - 626,,wbQZ8i5hzcqtRQVJ,05/27/2025 5:10 pm,06/10/2025 5:52 pm,14,-106.754896,RESOURCE,IN_PROGRESS,sai.garcia705@mailinator.com,MATDPNjZ3Ma5FDEkUtur,Data Lake Portal,Server,USER,Default Bundle,,APPROVED,06/10/2025 2:59 pm,USER,,sai.garcia@example.com,SUCCESS,1,sai.garcia@testmail.com,APPROVED,sai.garcia@testmail.com,APPROVED
Quarterly Access Review - 846,,LMsFmP6wdnCIMDOS,06/27/2023 3:05 am,07/07/2023 3:53 am,10,-811.337546,RESOURCE,ACTIVE,alex.johnson364@mailinator.com,7sGRckiSSgLl5yCWSgz5,My Super Secure App,Server,USER,,ROLE_USER,UNREVIEWED,,USER,,alex.johnson@example.com,FAILED,2,alex.johnson@testmail.com,REVOKED,,
PCI Resource Review - 709,,ThyL2Fx84Vq78Ciz,03/06/2025 7:43 pm,03/22/2025 8:36 pm,16,-186.641204,RESOURCE,CANCELLED,taylor.martinez755@mailinator.com,NmMsvP8O7FRthvDJPzU0,Finance360,Server,GROUP,,,UNREVIEWED,,GROUP,SecurityOps,,PENDING,,taylor.martinez@example.com,REVOKED,,
PCI Resource Review - 860,,WmHwCMPInOyFXRQc,08/15/2024 6:25 pm,09/03/2024 6:51 pm,19,-386.713970,RESOURCE,IN_PROGRESS,sai.patel14@mailinator.com,pMW1Z4ROUHLW7slQlkFx,HRPro,API,USER,,,APPROVED,08/15/2024 9:43 pm,USER,,sai.patel@testmail.com,FAILED,,sai.patel@testmail.com,APPROVED,,
SOX Resource Review - 503,SOX Resource Review audit.,IeRG7GWjHzv2Pus6,04/04/2025 2:25 am,04/26/2025 3:00 am,22,-152.374352,RESOURCE,DRAFT,alex.martinez355@testmail.com,oN4pc2xXhpSbGVFFEsOt,My Super Secure App,Application,GROUP,Default Bundle,ROLE_USER,REVOKED,04/04/2025 6:42 am,GROUP,AccessReviewers,,FAILED,2,,,,
Customer Portal Access - 856,,HR8WO6UjCufdXIJo,02/06/2024 7:05 pm,02/26/2024 7:29 pm,20,-576.687720,RESOURCE,COMPLETED,neha.brown444@testmail.com,bPHNMUKRe5gWsfVByODH,Data Lake Portal,Server,USER,Default Bundle,,REVOKED,02/26/2024 2:13 am,USER,,neha.brown@example.com,FAILED,2,neha.brown@example.com,APPROVED,,
Customer Portal Access - 551,,fnTTn40ilMphPJdU,05/02/2025 2:39 pm,05/23/2025 3:20 pm,21,-124.861007,RESOURCE,CANCELLED,alex.johnson688@example.com,pmJ6wPorelEuOQjJY7kt,Data Lake Portal,Server,USER,Default Bundle,,REVOKED,05/10/2025 3:48 pm,USER,,alex.johnson@testmail.com,SUCCESS,1,,,,
Quarterly Access Review - 180,,frZ3mTMT30NYJVnc,02/09/2024 8:28 pm,03/04/2024 9:25 pm,24,-569.607060,RESOURCE,CANCELLED,kiran.martinez794@example.com,wnVTsCFyFP0YMkFBl6O7,HRPro,API,GROUP,,,UNREVIEWED,,USER,,kiran.martinez@testmail.com,PENDING,,,,,
SOX Resource Review - 398,,Cc8uRGZZqHkOwOZG,08/07/2024 2:33 pm,08/21/2024 3:06 pm,14,-399.870683,RESOURCE,COMPLETED,taylor.johnson499@testmail.com,3a2BoFrjjLYOzuhPDKOz,Data Lake Portal,Application,GROUP,,,REVOKED,08/20/2024 1:11 am,GROUP,SecurityOps,,PENDING,,taylor.johnson@example.com,REVOKED,,
